bench name,total times (s),vc gen times (s),dec proc times (s),symb exec times (s),postprocess eq (s),SSA times (s),solver times (s),iterations,result (success/fail)
aws_add_size_checked,3.629,0.004,0.050,0.002,0.000,0.002,0.048,1,success
aws_add_size_saturating,3.651,0.003,0.084,0.001,0.000,0.002,0.082,1,success
aws_array_eq,5.696,0.037,0.261,0.020,0.000,0.017,0.244,1,success
aws_array_eq_c_str,5.717,0.037,0.122,0.024,0.000,0.013,0.109,1,success
aws_array_eq_c_str_ignore_case,5.700,0.077,0.363,0.030,0.000,0.047,0.316,1,success
aws_array_eq_ignore_case,5.694,0.066,0.362,0.020,0.000,0.046,0.316,1,success
aws_array_list_back,11.866,0.299,7.965,0.043,0.000,0.256,7.708,1,success
aws_array_list_capacity,7.741,0.130,3.922,0.019,0.000,0.111,3.811,1,success
aws_array_list_clean_up,3.634,0.062,0.130,0.013,0.000,0.049,0.081,1,success
aws_array_list_clear,5.693,0.122,0.314,0.014,0.000,0.108,0.206,1,success
aws_array_list_comparator_string,5.703,0.074,0.904,0.041,0.000,0.033,0.871,1,success
aws_array_list_copy,11.872,0.441,6.321,0.067,0.000,0.374,5.946,1,success
aws_array_list_ensure_capacity,7.783,0.365,3.634,0.057,0.000,0.308,3.325,1,success
aws_array_list_erase,168.373,1.059,163.855,0.116,0.000,0.943,162.911,1,success
aws_array_list_front,7.752,0.230,2.491,0.037,0.000,0.193,2.297,1,success
aws_array_list_get_at,7.759,0.264,4.017,0.039,0.000,0.225,3.792,1,success
aws_array_list_get_at_ptr,9.795,0.251,4.516,0.029,0.000,0.222,4.294,1,success
aws_array_list_init_dynamic,3.597,0.063,0.158,0.014,0.000,0.049,0.109,1,success
aws_array_list_init_static,5.695,0.082,0.814,0.011,0.000,0.071,0.743,1,success
aws_array_list_length,5.689,0.110,0.742,0.017,0.000,0.093,0.649,1,success
aws_array_list_pop_back,11.871,0.267,7.986,0.034,0.000,0.233,7.753,1,success
aws_array_list_pop_front,13.905,0.449,9.885,0.053,0.000,0.396,9.488,1,success
aws_array_list_pop_front_n,20.095,0.341,16.367,0.039,0.000,0.302,16.065,1,success
aws_array_list_push_back,15.991,0.740,11.909,0.106,0.000,0.634,11.274,1,success
aws_array_list_push_front,20.115,0.566,14.824,0.092,0.000,0.474,14.350,1,success
aws_array_list_set_at,18.013,0.595,14.336,0.089,0.000,0.506,13.830,1,success
aws_array_list_shrink_to_fit,20.120,0.543,16.084,0.067,0.000,0.476,15.607,1,success
aws_array_list_sort,20.090,0.285,16.053,0.046,0.000,0.239,15.813,1,success
aws_array_list_swap,38.674,0.610,34.327,0.077,0.000,0.533,33.794,1,success
aws_array_list_swap_contents,7.770,0.217,3.081,0.032,0.000,0.185,2.896,1,success
aws_byte_buf_advance,5.692,0.059,0.300,0.047,0.000,0.012,0.288,1,success
aws_byte_buf_append,5.727,0.056,0.430,0.035,0.000,0.021,0.408,1,success
aws_byte_buf_append_dynamic,55.173,0.096,49.566,0.058,0.000,0.038,49.528,1,success
aws_byte_buf_append_with_lookup,5.718,0.115,1.378,0.054,0.000,0.061,1.317,1,success
aws_byte_buf_cat,34.535,0.171,29.382,0.128,0.000,0.043,29.338,1,success
aws_byte_buf_clean_up,3.608,0.012,0.014,0.009,0.000,0.003,0.011,1,success
aws_byte_buf_clean_up_secure,5.673,0.065,1.144,0.045,0.000,0.020,1.123,1,success
aws_byte_buf_eq,5.679,0.064,0.463,0.042,0.000,0.022,0.441,1,success
aws_byte_buf_eq_c_str,5.698,0.050,0.189,0.035,0.000,0.015,0.173,1,success
aws_byte_buf_eq_c_str_ignore_case,5.713,0.088,0.398,0.038,0.000,0.050,0.348,1,success
aws_byte_buf_eq_ignore_case,5.718,0.098,0.461,0.048,0.000,0.050,0.410,1,success
aws_byte_buf_from_array,5.690,0.009,0.087,0.006,0.000,0.003,0.083,1,success
aws_byte_buf_from_c_str,5.716,0.027,0.046,0.020,0.000,0.007,0.039,1,success
aws_byte_buf_from_empty_array,5.698,0.013,0.074,0.009,0.000,0.004,0.069,1,success
aws_byte_buf_init,5.704,0.014,0.012,0.010,0.000,0.004,0.008,1,success
aws_byte_buf_init_copy,5.704,0.066,0.471,0.047,0.000,0.019,0.452,1,success
aws_byte_buf_init_copy_from_cursor,5.699,0.044,0.186,0.029,0.000,0.015,0.170,1,success
aws_byte_buf_reserve,5.678,0.080,0.567,0.051,0.000,0.029,0.538,1,success
aws_byte_buf_reserve_relative,5.685,0.092,0.886,0.060,0.000,0.032,0.854,1,success
aws_byte_buf_reset,5.684,0.024,0.112,0.016,0.000,0.008,0.104,1,success
aws_byte_buf_secure_zero,7.759,0.062,1.909,0.043,0.000,0.019,1.889,1,success
aws_byte_buf_write,9.824,0.043,4.222,0.030,0.000,0.013,4.209,1,success
aws_byte_buf_write_be16,5.720,0.033,0.077,0.023,0.000,0.010,0.067,1,success
aws_byte_buf_write_be32,5.671,0.034,0.080,0.023,0.000,0.011,0.069,1,success
aws_byte_buf_write_be64,5.661,0.044,0.130,0.030,0.000,0.014,0.116,1,success
aws_byte_buf_write_from_whole_buffer,5.690,0.070,0.933,0.044,0.000,0.026,0.906,1,success
aws_byte_buf_write_from_whole_cursor,5.690,0.054,0.323,0.037,0.000,0.017,0.306,1,success
aws_byte_buf_write_from_whole_string,9.836,0.072,4.895,0.045,0.000,0.027,4.868,1,success
aws_byte_buf_write_u8,5.697,0.030,0.064,0.021,0.000,0.009,0.055,1,success
aws_byte_cursor_advance,5.711,0.032,0.578,0.024,0.000,0.008,0.570,1,success
aws_byte_cursor_advance_nospec,5.704,0.023,0.730,0.013,0.000,0.010,0.720,1,success
aws_byte_cursor_compare_lexical,5.703,0.080,0.621,0.049,0.000,0.031,0.589,1,success
aws_byte_cursor_compare_lookup,20.130,0.366,14.365,0.156,0.000,0.210,14.153,1,success
aws_byte_cursor_eq,5.693,0.054,0.354,0.034,0.000,0.020,0.334,1,success
aws_byte_cursor_eq_byte_buf,5.695,0.057,0.269,0.036,0.000,0.021,0.249,1,success
aws_byte_cursor_eq_byte_buf_ignore_case,5.700,0.091,0.380,0.043,0.000,0.048,0.332,1,success
aws_byte_cursor_eq_c_str,5.706,0.052,0.136,0.038,0.000,0.014,0.122,1,success
aws_byte_cursor_eq_c_str_ignore_case,5.689,0.083,0.371,0.034,0.000,0.049,0.322,1,success
aws_byte_cursor_eq_ignore_case,5.705,0.081,0.387,0.033,0.000,0.048,0.339,1,success
aws_byte_cursor_from_array,5.679,0.008,0.070,0.005,0.000,0.003,0.067,1,success
aws_byte_cursor_from_buf,5.670,0.022,0.047,0.015,0.000,0.007,0.040,1,success
aws_byte_cursor_from_c_str,5.714,0.021,0.042,0.015,0.000,0.006,0.035,1,success
aws_byte_cursor_from_string,5.680,0.023,0.140,0.013,0.000,0.010,0.129,1,success
aws_byte_cursor_left_trim_pred,5.685,0.030,0.061,0.020,0.000,0.010,0.050,1,success
aws_byte_cursor_read,5.724,0.035,1.458,0.021,0.000,0.014,1.443,1,success
aws_byte_cursor_read_and_fill_buffer,7.772,0.057,2.379,0.037,0.000,0.020,2.359,1,success
aws_byte_cursor_read_be16,5.690,0.037,0.117,0.025,0.000,0.012,0.105,1,success
aws_byte_cursor_read_be32,5.671,0.037,0.115,0.025,0.000,0.012,0.103,1,success
aws_byte_cursor_read_be64,5.691,0.040,0.125,0.027,0.000,0.013,0.112,1,success
aws_byte_cursor_read_u8,5.714,0.032,0.103,0.022,0.000,0.010,0.093,1,success
aws_byte_cursor_right_trim_pred,5.723,0.046,0.121,0.027,0.000,0.019,0.101,1,success
aws_byte_cursor_satisfies_pred,5.702,0.030,0.064,0.020,0.000,0.010,0.054,1,success
aws_byte_cursor_trim_pred,5.680,0.074,0.371,0.041,0.000,0.033,0.337,1,success
aws_hash_array_ignore_case,5.676,0.040,0.144,0.009,0.000,0.031,0.112,1,success
aws_hash_byte_cursor_ptr,5.725,0.100,0.270,0.054,0.000,0.046,0.222,1,success
aws_hash_byte_cursor_ptr_ignore_case,5.699,0.048,0.153,0.015,0.000,0.033,0.120,1,success
aws_hash_c_string,5.733,0.109,0.285,0.063,0.000,0.046,0.238,1,success
aws_hash_callback_c_str_eq,5.699,0.176,0.934,0.134,0.000,0.042,0.891,1,success
aws_hash_callback_string_destroy,5.688,0.016,0.089,0.009,0.000,0.007,0.082,1,success
aws_hash_callback_string_eq,13.948,0.330,8.237,0.214,0.000,0.116,8.119,1,success
aws_hash_iter_begin,7.784,0.153,2.225,0.102,0.000,0.051,2.172,1,success
aws_hash_iter_delete,5.690,0.082,0.378,0.051,0.000,0.031,0.346,1,success
aws_hash_iter_done,7.731,0.069,2.100,0.047,0.000,0.022,2.078,1,success
aws_hash_iter_next,18.061,0.132,12.667,0.070,0.000,0.062,12.604,1,success
aws_hash_ptr,3.671,0.006,0.000,0.006,0.000,0.000,0.000,1,success
aws_hash_string,5.755,0.109,1.237,0.057,0.000,0.052,1.183,1,success
aws_hash_table_clean_up,7.761,0.105,3.565,0.064,0.000,0.041,3.523,1,success
aws_hash_table_clear,20.131,0.129,14.514,0.082,0.000,0.047,14.466,1,success
aws_hash_table_create,98.524,0.308,88.468,0.132,0.000,0.176,88.290,1,success
aws_hash_table_eq,20.136,0.694,14.443,0.381,0.001,0.312,14.126,1,success
aws_hash_table_find,20.127,0.290,14.898,0.144,0.000,0.146,14.751,1,success
aws_hash_table_foreach,22.222,0.302,17.934,0.198,0.000,0.104,17.830,1,success
aws_hash_table_get_entry_count,5.688,0.025,0.211,0.015,0.000,0.010,0.201,1,success
aws_hash_table_init_bounded,5.669,0.050,0.646,0.022,0.000,0.028,0.617,1,success
aws_hash_table_init_unbounded,5.710,0.046,0.195,0.019,0.000,0.027,0.168,1,success
aws_hash_table_move,5.677,0.040,0.312,0.028,0.000,0.012,0.301,1,success
aws_hash_table_put,96.460,0.282,85.833,0.121,0.000,0.161,85.670,1,success
aws_hash_table_remove,20.146,0.232,14.052,0.109,0.000,0.123,13.928,1,success
aws_hash_table_swap,5.732,0.062,0.934,0.030,0.000,0.032,0.901,1,success
aws_is_power_of_two,3.632,0.003,0.011,0.001,0.000,0.002,0.009,1,success
aws_linked_list_back,7.775,0.461,2.460,0.248,0.001,0.212,2.246,1,success
aws_linked_list_begin,7.777,0.510,3.082,0.260,0.001,0.249,2.831,1,success
aws_linked_list_end,7.754,0.504,3.135,0.257,0.001,0.246,2.886,1,success
aws_linked_list_front,7.728,0.417,2.369,0.212,0.000,0.205,2.162,1,success
aws_linked_list_init,3.662,0.007,0.001,0.006,0.000,0.001,0.000,1,success
aws_linked_list_insert_after,3.647,0.006,0.000,0.006,0.000,0.000,0.000,1,success
aws_linked_list_insert_before,3.636,0.006,0.000,0.006,0.000,0.000,0.000,1,success
aws_linked_list_next,3.625,0.004,0.000,0.004,0.000,0.000,0.000,1,success
aws_linked_list_node_reset,3.646,0.005,0.007,0.003,0.000,0.002,0.005,1,success
aws_linked_list_pop_back,481.322,3.185,474.915,2.216,0.001,0.968,473.943,1,success
aws_linked_list_pop_front,9.811,1.107,5.553,0.618,0.001,0.488,5.061,1,success
aws_linked_list_prev,3.614,0.004,0.000,0.004,0.000,0.000,0.000,1,success
aws_linked_list_push_back,7.776,0.450,2.692,0.234,0.001,0.215,2.475,1,success
aws_linked_list_push_front,9.851,0.997,4.305,0.593,0.001,0.403,3.899,1,success
aws_linked_list_rbegin,7.740,0.501,3.120,0.256,0.001,0.244,2.874,1,success
aws_linked_list_remove,3.659,0.007,0.004,0.006,0.000,0.001,0.003,1,success
aws_linked_list_rend,7.764,0.499,3.144,0.252,0.001,0.246,2.895,1,success
aws_linked_list_swap_contents,13.951,0.905,9.807,0.483,0.001,0.421,9.380,1,success
aws_mul_size_checked,3.611,0.058,0.122,0.002,0.000,0.056,0.066,1,success
aws_mul_size_saturating,3.610,0.067,0.310,0.001,0.000,0.066,0.243,1,success
aws_nospec_mask,3.596,0.004,0.019,0.001,0.000,0.003,0.016,1,success
aws_priority_queue_capacity,9.827,0.210,4.832,0.043,0.000,0.167,4.665,1,success
aws_priority_queue_clean_up,5.666,0.185,0.846,0.074,0.000,0.111,0.734,1,success
aws_priority_queue_init_dynamic,5.673,0.172,0.292,0.078,0.000,0.094,0.197,1,success
aws_priority_queue_init_static,5.681,0.125,0.576,0.049,0.000,0.076,0.500,1,success
aws_priority_queue_pop,20.169,0.627,15.017,0.118,0.000,0.509,14.508,1,success
aws_priority_queue_push,2680.425,2.200,2675.810,0.354,0.001,1.845,2673.960,1,success
aws_priority_queue_push_ref,240.647,2.077,234.405,0.355,0.001,1.721,232.681,1,success
aws_priority_queue_remove,28.388,0.671,22.867,0.119,0.000,0.552,22.314,1,success
aws_priority_queue_s_remove_node,890.079,1.561,883.664,0.252,0.001,1.308,882.353,1,success
aws_priority_queue_s_sift_down,28.385,2.168,23.131,0.315,0.001,1.852,21.277,1,success
aws_priority_queue_s_sift_either,143.838,3.754,136.102,0.564,0.001,3.189,132.910,1,success
aws_priority_queue_s_sift_up,16.009,1.631,9.772,0.259,0.001,1.371,8.400,1,success
aws_priority_queue_s_swap,189.119,0.889,184.140,0.179,0.000,0.710,183.428,1,success
aws_priority_queue_size,9.799,0.191,4.283,0.042,0.000,0.149,4.134,1,success
aws_priority_queue_top,9.846,0.331,5.865,0.064,0.000,0.267,5.598,1,success
aws_ptr_eq,3.617,0.001,0.001,0.001,0.000,0.000,0.000,1,success
aws_ring_buffer_acquire,20.146,0.240,14.513,0.172,0.001,0.067,14.445,1,success
aws_ring_buffer_acquire_up_to,22.186,0.278,17.495,0.198,0.001,0.079,17.415,1,success
aws_ring_buffer_buf_belongs_to_pool,7.793,0.081,3.377,0.054,0.000,0.027,3.350,1,success
aws_ring_buffer_clean_up,5.700,0.034,0.175,0.026,0.000,0.008,0.167,1,success
aws_ring_buffer_init,5.715,0.027,0.107,0.019,0.000,0.008,0.099,1,success
aws_ring_buffer_release,16.024,0.127,10.865,0.086,0.000,0.041,10.823,1,success
aws_round_up_to_power_of_two,3.593,0.005,0.027,0.002,0.000,0.003,0.024,1,success
aws_string_bytes,3.621,0.012,0.152,0.007,0.000,0.005,0.146,1,success
aws_string_compare,5.729,0.070,0.979,0.039,0.000,0.031,0.947,1,success
aws_string_destroy,5.686,0.012,0.084,0.007,0.000,0.005,0.079,1,success
aws_string_destroy_secure,5.700,0.018,0.102,0.010,0.000,0.008,0.094,1,success
aws_string_eq,5.702,0.072,0.662,0.043,0.000,0.029,0.633,1,success
aws_string_eq_byte_buf,5.709,0.078,0.612,0.037,0.000,0.041,0.571,1,success
aws_string_eq_byte_buf_ignore_case,5.716,0.117,0.578,0.038,0.000,0.079,0.498,1,success
aws_string_eq_byte_cursor,5.672,0.073,0.549,0.034,0.000,0.039,0.509,1,success
aws_string_eq_byte_cursor_ignore_case,5.675,0.113,0.557,0.035,0.000,0.078,0.478,1,success
aws_string_eq_c_str,5.726,0.054,0.236,0.037,0.000,0.017,0.217,1,success
aws_string_eq_c_str_ignore_case,5.713,0.113,0.575,0.041,0.000,0.072,0.503,1,success
aws_string_eq_ignore_case,5.708,0.115,0.765,0.039,0.000,0.076,0.688,1,success
aws_string_new_from_array,5.693,0.023,1.654,0.013,0.000,0.010,1.644,1,success
aws_string_new_from_c_str,5.703,0.031,0.217,0.020,0.000,0.011,0.205,1,success
aws_string_new_from_string,26.273,0.053,21.393,0.024,0.000,0.029,21.364,1,success
memcpy_using_uint64,16.016,0.501,11.877,0.139,0.000,0.362,11.514,1,success
memset_override_0,13.961,0.228,10.231,0.093,0.000,0.135,10.096,1,success
memset_using_uint64,22.214,0.253,18.234,0.100,0.000,0.153,18.079,1,success
